gift_id,gift,given_at
1,partridge in a pear tree,2024-12-09 15:00:00+00:00
2,turtle dove,2024-12-10 14:00:00+00:00
14,turtle dove,2024-12-10 14:22:00+00:00
3,french hen,2024-12-11 9:00:00+00:00
4,french hen,2024-12-11 13:00:00+00:00
5,french hen,2024-12-11 18:00:00+00:00
6,calling bird,2024-12-12 17:00:00+00:00
7,calling bird,2024-12-12 18:00:00+00:00
8,calling bird,2024-12-12 19:00:00+00:00
9,calling bird,2024-12-12 20:00:00+00:00
10,gold ring,2024-12-13 08:00:00+00:00
11,gold ring,2024-12-13 08:30:00+00:00
12,gold ring,2024-12-13 09:00:00+00:00
13,gold ring,2024-12-13 09:55:00+00:00
